message,prediction
We're happy to inform you that your credit card application has been approved. You can now start using your new card with a credit limit of up to 5 lakhs. Click the link below to begin the process: 0kb.in/s/IZ6C8om T&C apply.,financial
"Hello, CustomerPrefr offers cash loans ranging from Rs 10,000 to Rs 3,000,000. Direct Transfer to your Bank A/C and No Hidden Fees.Visit this link: 1kx.in/iA7OLb ""AB Finance""

",financial
"Regards, CustomerFrom 10,000 to 30,000 rupees, Prefr offers cash loans. Direct Transfer to Your Bank Account and No Hidden Fees.Please visit http://1kx.in/iA7OLb. AB Finance ""

",financial
"Mr. Customer,From Rs. 10,000 to Rs. 3,000,00,000 in cash is loaned by Prefr. Direct transfer to your bank account; no hidden fees.Go here: 1kx.in/iA7OLb ""AB Finance""

",financial
"Dear CustomerPrefr offers cash loans ranging from Rs. 10,000 to Rs. 3,000,000. Direct Transfer to your Bank Account and No Hidden Fees.Click here: http://1kx.in/iA7OLb AB Finance ""

",financial
"Hello, CustomerPrefr offers cash loans ranging from Rs 10,000 to Rs 3,000,000. Direct Transfer to your Bank A/C and No Hidden Fees.Visit this link: 1kx.in/iA7OLb ""AB Finance""

",financial
"Regards, CustomerFrom 10,000 to 30,000 rupees, Prefr offers cash loans. Direct Transfer to Your Bank Account and No Hidden Fees.Please visit http://1kx.in/iA7OLb. AB Finance ""

",financial
"Congratulations! Your Rs.300,000 loan is ready to be credited. Click here to complete the registration process and start using your funds today: http://1kx.in/3tau5u",financial
"We're excited to announce that your Rs.300,000 loan has been approved! Click here to complete the registration process and get your funds in as little as 24 hours: http://1kx.in/3tau5u",financial
"Your Rs.300,000 loan is now just a few clicks away! Click here to complete the registration process and start using your funds to achieve your financial goals: http://1kx.in/3tau5u


",financial
"Don't miss out on your Rs.300,000 loan! Click here to complete the registration process today and start using your funds to make your dreams a reality: http://1kx.in/3tau5u",financial
"Your Rs.300,000 loan is waiting for you! Click here to complete the registration process and get started today: http://1kx.in/3tau5",financial
"We're here to help you achieve your financial goals. Click here to complete the registration process for your Rs.300,000 loan and start using your funds today: http://1kx.in/3tau5u",financial
"Congratulations! Your MoneyView personal loan offer of up to Rs. 5,00,000 is ready. Click here to apply and get your funds in minutes: http://1kx.in/TpdA2p",financial
"We're excited to announce that your MoneyView personal loan offer of up to Rs. 5,00,000 has been approved! Click here to apply and get your funds in as little as 24 hours: http://1kx.in/TpdA2p",financial
"Your MoneyView personal loan offer of up to Rs. 5,00,000 is just a few clicks away! Click here to apply and start using your funds to achieve your financial goals: http://1kx.in/TpdA2p",financial
"Don't miss out on this great opportunity! Your MoneyView personal loan offer of up to Rs. 5,00,000 is available now. Click here to apply: http://1kx.in/TpdA2p",financial
"Your MoneyView personal loan offer of up to Rs. 5,00,000 is waiting for you! Click here to apply and get started today: http://1kx.in/TpdA2p",financial
"We're here to help you achieve your financial goals. Click here to apply for your MoneyView personal loan offer of up to Rs. 5,00,000 and start using your funds today: http://1kx.in/TpdA2p",financial
"Hey Vishnubhai, your loan money of up to Rs 5 lakh is ready! Get it with Airtel Flexi Credit, avail low interest rates, no paperwork and get it disbursed within minutes. Click here to apply now: https://i.airtel.in/NQPAXO",financial
"Congratulations, Vishnubhai! Your loan money of up to Rs 5 lakh is ready with Airtel Flexi Credit. Get it with low interest rates, no paperwork and get it disbursed within minutes. Click here to apply now: https://i.airtel.in/NQPAXO",financial
"Hi Vishnubhai, we're excited to let you know that your loan money of up to Rs 5 lakh is ready with Airtel Flexi Credit. Get it with low interest rates, no paperwork and get it disbursed within minutes. Click here to apply now: https://i.airtel.in/NQPAXO",financial
"Vishnubhai, your loan money of up to Rs 5 lakh is waiting for you with Airtel Flexi Credit. Get it with low interest rates, no paperwork and get it disbursed within minutes. Click here to apply now: https://i.airtel.in/NQPAXO",financial
"Don't miss out on this great opportunity, Vishnubhai! Your loan money of up to Rs 5 lakh is ready with Airtel Flexi Credit. Get it with low interest rates, no paperwork and get it disbursed within minutes. Click here to apply now: https://i.airtel.in/NQPAXO",financial
"We're here to help you achieve your financial goals, Vishnubhai. Get your loan money of up to Rs 5 lakh with Airtel Flexi Credit. Enjoy low interest rates, no paperwork and get it disbursed within minutes. Click here to apply now: https://i.airtel.in/NQPAXO",financial
"Get a Navi Cash Loan of up to Rs.5,00,000 with no hidden charges and quick disbursement. Click here to apply now: http://gmg.im/esVLte",financial
"Navi Cash Loan can give you up to Rs.5,00,000 with no hidden charges and quick disbursement. Click here to apply now and get the money you need today: http://gmg.im/esVLte",financial
"Navi Cash Loan is a great way to get the money you need quickly and easily. With no hidden charges and quick disbursement, it's the perfect solution for your financial needs. Click here to apply now: http://gmg.im/esVLte",financial
"Don't miss out on this great opportunity! Navi Cash Loan can give you up to Rs.5,00,000 with no hidden charges and quick disbursement. Click here to apply now: http://gmg.im/esVLte",financial
"We're here to help you achieve your financial goals. Navi Cash Loan can give you up to Rs.5,00,000 with no hidden charges and quick disbursement. Click here to apply now: http://gmg.im/esVLte",financial
"Navi Cash Loan is the perfect way to get the money you need to pay for your unexpected expenses, consolidate your debt, or start a new business. With no hidden charges and quick disbursement, it's the easy choice. Click here to apply now: http://gmg.im/esVLte",financial
"Get an instant cash loan of up to Rs.5,00,000 with no hidden charges and direct transfer to your bank account. Click here to apply now: http://gmg.im/hggVLw",financial
"Need some quick cash? Get an instant cash loan of up to Rs.5,00,000 with no hidden charges and direct transfer to your bank account. Click here to apply now: http://gmg.im/hggVLw",financial
"Looking for a way to get the money you need quickly and easily? Get an instant cash loan of up to Rs.5,00,000 with no hidden charges and direct transfer to your bank account. Click here to apply now: http://gmg.im/hggVLw",financial
" Don't miss out on this great opportunity! Get an instant cash loan of up to Rs.5,00,000 with no hidden charges and direct transfer to your bank account. Click here to apply now: http://gmg.im/hggVLw",financial
"We're here to help you achieve your financial goals. Get an instant cash loan of up to Rs.5,00,000 with no hidden charges and direct transfer to your bank account. Click here to apply now: http://gmg.im/hggVLw",financial
"Whether you need money to pay for unexpected expenses, consolidate your debt, or start a new business, we can help. Get an instant cash loan of up to Rs.5,00,000 with no hidden charges and direct transfer to your bank account. Click here to apply now: http://gmg.im/hggVLw",financial
Your Credit Card with a 5 million dollar cap has received approval and a lot of benefits. Please click this link to begin the process: 0kb.in/s/KY3TLqm  ,financial
"Your Credit Card with a $5,000,000 Cap has numerous benefits and has been approved. Please click link 0kb.in/s/KY3TLqm to begin the process.  ",financial
"Your Credit Card, with a 5,000,000 Credit Limit features several benefits and has been approved. Click the following link: 0kb.in/s/KY3TLqm to begin the process.  ",financial
"Your Credit Card with a 5,000,000 Credit Limit has received approval and several benefits. Please click the following link to begin the process: 0kb.in/s/KY3TLqm  ",financial
"Your Credit Card with a $5,000,000 Cap has numerous benefits and has been approved. Please click link 0kb.in/s/KY3TLqm to begin the process.  ",financial
1. We're here to help you achieve your financial goals. Your credit card application has been approved. You can now avail a credit limit of up to 5 lakhs. Click here to start the process and get started today: [link],financial
"Whether you need money to pay for unexpected expenses, consolidate your debt, or start a new business, we can help. Your credit card application has been approved. You can now avail a credit limit of up to 5 lakhs. Click here to start the process and get the money you need today",financial
"With a credit limit of up to 5 lakhs, you can now enjoy the many benefits that come with a credit card. Click here to start the process and get started today",financial
"our credit card application has been approved! To start the process and enjoy the many benefits that come with a credit card, kindly click on the link",financial
"We're happy to announce that your credit card application has been approved. To start the process and get the money you need today, kindly click on the link:",financial
1. Don't miss out on this great opportunity! Your credit card application has been approved. You can now avail a credit limit of up to 5 lakhs. Click here to start the process today,financial
Congratulations! Your credit card application has been approved. You can now avail a credit limit of up to 5 lakhs. Click here to start the process,financial
"Your credit card of limit upto 5 lakh has been approved! To start the process, kindly click on the link",financial
"Login successful! Submit basic details to get your EMI Network Card now with limit upto 2 Lacs, click [http://BajFin.in/Mb2YQJ10].",financial
"Congratulations! Your login was successful. Now, submit your basic details to get your EMI Network Card with a limit of up to 2 lakhs. Click [http://BajFin.in/Mb2YQJ10] to get started.",financial
We're excited to announce that your login was successful! Submit your basic details to get your EMI Network Card with a limit of up to 2 lakhs. Click [http://BajFin.in/Mb2YQJ10] to get started today.,financial
Your login was successful! Submit your basic details to get your EMI Network Card with a limit of up to 2 lakhs. Click [http://BajFin.in/Mb2YQJ10] to avail this amazing offer.,financial
Don't miss out on this great opportunity! Your login was successful. Submit your basic details to get your EMI Network Card with a limit of up to 2 lakhs. Click [http://BajFin.in/Mb2YQJ10] to get started now.,financial
We're here to help you achieve your financial goals. Your login was successful. Submit your basic details to get your EMI Network Card with a limit of up to 2 lakhs. Click [http://BajFin.in/Mb2YQJ10] to get started today.,financial
"Whether you need money to pay for unexpected expenses, consolidate your debt, or start a new business, we can help. Your login was successful. Submit your basic details to get your EMI Network Card with a limit of up to 2 lakhs. Click [http://BajFin.in/Mb2YQJ10] to get started today.",financial
"With an EMI Network Card, you can now enjoy the many benefits that come with a credit card. Click [http://BajFin.in/Mb2YQJ10] to submit your basic details and get started today.",financial
"Your login was successful! To get your EMI Network Card with a limit of up to 2 lakhs, submit your basic details by clicking [http://BajFin.in/Mb2YQJ10].",financial
We're happy to announce that your login was successful. Submit your basic details to get your EMI Network Card with a limit of up to 2 lakhs by clicking [http://BajFin.in/Mb2YQJ10].,financial
"Dear Customer, you are eligible for a personal loan of up to Rs.5 lakhs instantly on Flipkart. No documents required! Click here to apply now.*",financial
Your credit score is good enough to get a personal loan of up to Rs.5 lakhs instantly on Flipkart. No documents required! Click here to apply now.*,financial
You have been pre-approved for a personal loan of up to Rs.5 lakhs on Flipkart. No documents required! Click here to apply now and get the money you need today.*,financial
Don't miss out on this amazing opportunity! You can get a personal loan of up to Rs.5 lakhs instantly on Flipkart. No documents required! Click here to apply now.*,financial
We're here to help you achieve your financial goals. Get a personal loan of up to Rs.5 lakhs instantly on Flipkart. No documents required! Click here to apply now.*,financial
"Whether you need money to pay for unexpected expenses, consolidate your debt, or start a new business, we can help. Get a personal loan of up to Rs.5 lakhs instantly on Flipkart. No documents required! Click here to apply now.*",financial
"With a personal loan from Flipkart, you can get the money you need quickly and easily. No documents required! Click here to apply now.",financial
Your loan application is processed instantly on Flipkart. No documents required! Click here to apply now and get the money you need today.,financial
"You can get a personal loan of up to Rs.5 lakhs on Flipkart. The best part is, you don't need to submit any documents! Click here to apply now.*",financial
We're excited to announce that you are eligible for a personal loan of up to Rs.5 lakhs on Flipkart. No documents required! Click here to apply now.*,financial
"We are thrilled to inform you that you are qualified for a personal loan on Flipkart up to Rs. 5 lakhs. No paperwork is necessary! To apply right away, click here.",financial
"We're happy to let you know that you qualify for a personal loan on Flipkart up to Rs. 5 lakhs. No documentation is needed! To apply today, click here.",financial
We are happy to inform you that a personal loan from Flipkart up to Rs. 5 lakhs is available to you. No paperwork is needed! Apply now by clicking here.,financial
Congratulations! Your credit card application has been approved. You can now avail a credit limit of up to 5 lakhs. Click here to start the process and get started today.,financial
Your loan application is processed instantly on Flipkart. No documents required! Click here to apply now and get the money you need today.,financial
Get a personal loan of up to Rs.5 lakhs instantly on Flipkart. No documents required! Click here to apply now.,financial
Your credit score is good enough to get a personal loan of up to Rs.5 lakhs instantly on Flipkart. No documents required! Click here to apply now.,financial
"Dear Customer, you are eligible for a personal loan of up to Rs.5 lakhs instantly on Flipkart. No documents required! Click here to apply now.*",financial
"Your Rs.300,000 loan is ready to be credited. Click here to complete the registration process and start using your funds today.",financial
"Get an instant cash loan of up to Rs.5,00,000 with no hidden charges and direct transfer to your bank account. Click here to apply now: http://gmg.im/hggVLw",financial
"Congratulations Khamar Nilesh! You're pre-qualified for Airtel Axis Bank Credit card. Now enjoy 1. Credit limit - upto Rs 5,00,000 2. Cashback - up to Rs18,000 3. Also enjoy Zero joining fees Apply today https://i.airtel.in/avail_ZeroJoingFee9",financial
"Your Credit Card with a $5,000,000 Cap has numerous benefits and has been approved. Please click link 0kb.in/s/KY3TLqm to begin the process.",financial
Your credit card with a maximum limit of $5 million has been approved with various benefits. Please click the following link: 0kb.in/s/IZ6C8om T&C apply to begin the process.,financial
"Your Rs.300,000 loan is now just a few clicks away! Click here to complete the registration process and start using your funds to achieve your financial goals: http://1kx.in/3tau5u",financial
"We're here to help you achieve your financial goals. Click here to apply for your MoneyView personal loan offer of up to Rs. 5,00,000 and start using your funds today: http://1kx.in/TpdA2p",financial
"Cash Loan is a great way to get the money you need quickly and easily. With no hidden charges and quick disbursement, it's the perfect solution for your financial needs. Click here to apply now: http://gmg.im/esVLte",financial
"Get your loan money of up to Rs 5 lakh with Airtel Flexi Credit. Enjoy low interest rates, no paperwork and get it disbursed within minutes. Click here to apply now: https://i.airtel.in/NQPAXO",financial
Your Credit Card of Limit Upto 5 Lac Has been Approved with many Benefits. To start the process kindly click link 0kb.in/s/32Eub4m T&C apply.,financial
You are special to us! Your credit limit has been pre-approved up to Rs.60000 with ZIP. Shop at 1 Lakh brands & pay later. Activate: w6em.app.link/zsm,financial
"Dear Customer, Introducing Personal Loan on Flipkart with affordable EMIs. Apply & Get a loan up to Rs.5 Lakhs > http://fkrt.it/ECNo3iNNNN",financial
"Get a Navi Cash Loan of up to Rs.5,00,000 with no hidden charges and quick disbursement. Click here to apply now: http://gmg.im/ibukj5",financial
Your Credit Card with a 5 million dollar cap has received approval and a lot of benefits. Please click this link to begin the process: 0kb.in/s/KY3TLqm,financial
"Your Credit Card with a $5,000,000 Cap has numerous benefits and has been approved. Please click link 0kb.in/s/KY3TLqm to begin the process.",financial
"Your Credit Card, with a 5,000,000 Credit Limit features several benefits and has been approved. Click the following link: 0kb.in/s/KY3TLqm to begin the process.",financial
"Your Credit Card with a 5,000,000 Credit Limit has received approval and several benefits. Please click the following link to begin the process: 0kb.in/s/KY3TLqm",financial
Don't miss out on this great opportunity! Your credit card application has been approved. You can now avail a credit limit of up to 5 lakhs. Click here to start the process today,financial
We're happy to announce that your credit card application has been approved. You can now avail a credit limit of up to 5 lakhs. Click here to start the process.,financial
"Your credit card of limit up to 5 lakhs has been approved! To start the process, kindly click on the link.",financial
"We are thrilled to inform you that you are qualified for a personal loan on Flipkart up to Rs. 5 lakhs. No paperwork is necessary! To apply right away, click here.",financial
"We're happy to let you know that you qualify for a personal loan on Flipkart up to Rs. 5 lakhs. No documentation is needed! To apply today, click here.",financial
We are happy to inform you that a personal loan from Flipkart up to Rs. 5 lakhs is available to you. No paperwork is needed! Apply now by clicking here.,financial
Your credit card application has been approved. You can now avail a credit limit of up to 5 lakhs. Click here to start the process and get started today.,financial
Your credit card with a maximum limit of $5 million has been approved with various benefits. Please click the following link to begin the process.,financial
Your credit card application has been approved. You're now one step closer to enjoying all the benefits of a 5 lakh credit limit. Click the link below to begin the process: 0kb.in/s/IZ6C8om T&C apply.,financial
"With an EMI Network Card, you can now enjoy the many benefits that come with a credit card. Click [http://BajFin.in/Mb2YQJ10] to submit your basic details and get started today.",financial
"You can get a personal loan of up to Rs.5 lakhs on Flipkart. The best part is, you don't need to submit any documents! Click here to apply now.*",financial
We're excited to announce that you are eligible for a personal loan of up to Rs.5 lakhs on Flipkart. No documents required! Click here to apply now.*,financial
Don't miss out on this amazing opportunity! You can get a personal loan of up to Rs.5 lakhs instantly on Flipkart. No documents required! Click here to apply now.*,financial
"Your Rs.300,000 loan is ready to be credited. Click here to complete the registration process and start using your funds today of data",financial
"Dear Customer, you are eligible for a personal loan of up to Rs.5 lakhs instantly on Flipkart. No documents required! Apply now.*",financial
"Good News!! Loan Amount of INR 50,000.00 Can Be Successfully Approved within 5 mins. Check Now: m01.in/4f9pbn!5td9qm7",financial
"Congratulations Khamar Nilesh! You're pre-qualified for Airtel Axis Bank Credit card. Now enjoy Credit limit - up to Rs 5,00,000.",financial
"You are just 1-step away to get your loan up to Rs. 30,000 to be credited to your bank account. Download mPokket app now.",financial
"Dear Customer, Introducing Personal Loan on Flipkart with affordable EMIs. Apply & Get a loan up to Rs.5 Lakhs.",financial
Congratulations! Your credit card application has been approved. You can now avail a credit limit of up to 5 lakhs.,financial
"Your loan money of up to Rs 5 Lakh is ready. With Airtel Flexi Credit, avail low interest rates, no paperwork & get loan disbursed within minutes. Apply Now: https://i.airtel.in/NQPAXO.",financial
"Good news! Loan up to Rs.300,000 is approved successfully. Direct Bank Transfer in 10min. Submit details now: http://gmg.im/cRpjhu -AB Finance.",financial
"Congratulations, Vishnubhai! Your loan money of up to Rs 5 lakh is ready with Airtel Flexi Credit. Get it with low interest rates, no paperwork and get it disbursed within minutes. Click here to apply now: https://i.airtel.in/NQPAXO.",financial
"Your loan money of up to Rs 5 Lakh is ready. With Airtel Flexi Credit, avail low interest rates, no paperwork & get loan disbursed within minutes. Apply Now: https://i.airtel.in/MVLPPA.",financial
"Dear Customer, Introducing Personal Loan on Flipkart with affordable EMIs. Apply & Get a loan up to Rs.5 Lakhs.",financial
Your credit card with a maximum limit of $5 million has been approved with various benefits. Please click the following link to begin the process: 0kb.in/s/KY3TLqm.,financial
"Dear Customer, Rs. 60,000 get credited in your Mobikwik account. Activate now: http://gmg.im/fxOdTv AB FINANCE.",financial
"Dear Customer, Introducing Flipkart Personal Loans with affordable EMIs. Apply & Get a loan up to Rs.5 Lakhs.",financial
Your Credit Card of Limit Upto 5 Lac Has been Approved with many Benefits. To start the process kindly click link 0kb.in/s/32Eub4m T&C apply.,financial
"Activate MobiKwik ZIP and get instant credit of Rs. 60,000 with 0 interest. Click w6em.app.link/kxzip -MobiKwik.",financial
"With an EMI Network Card, you can now enjoy the many benefits that come with a credit card. Click [http://BajFin.in/Mb2YQJ10] to submit your basic details and get started today.",financial
Congratulations! Your credit card application has been approved. You can now avail a credit limit of up to 5 lakhs. Click here to start the process and get started today.,financial
